form	count	lemma	pos	nl
агарянскаго	1	ага́рянский	adj	Hagareens; van de Hagarenen (d.w.z. islamitisch, hier: Tataars)
агарянским	1	ага́рянский	adj	Hagareens; van de Hagarenen (d.w.z. islamitisch, hier: Tataars)
агарянскую	1	ага́рянский	adj	Hagareens; van de Hagarenen (d.w.z. islamitisch, hier: Tataars)
аллилуиа	12	аллилу́иа	interj	Alleluja
аминь	2	ами́нь	interj	Amen
ангел	3	а́нгел	n.m	engel
ангелы	2	а́нгел	n.m	engel
ангельскаго	1	а́нгельский	adj	engelachtig; der engelen
апостолов	2	апо́стол	n.m	apostel
арсению	1	Арсе́ний	n.prop	Arsenius (van Elassona, aartsbisschop van Soezdal)
архангел	1	арха́нгел	n.m	aartsengel
архангельский	1	арха́нгельский	adj	van de aartsengel; aartsengel-
архиереев	1	архиере́й	n.m	hiërarch; bisschop; hogepriester
бане	1	ба́ня	n.f	bad; wassing; badwater
бед	5	беда́	n.f	nood; rampspoed; onheil; ellende
бедах	3	беда́	n.f	nood; rampspoed; onheil; ellende
без	1	без	prep	zonder
безгласныя	1	безгла́сный	adj	stemloos; stom; sprakeloos
бездну	1	бе́здна	n.f	afgrond; diepte; peilloze diepte
бездны	1	бе́здна	n.f	afgrond; diepte; peilloze diepte
безмездное	1	безме́здный	adj	om niet; kosteloos; onbaatzuchtig
беснующиися	1	бесну́ющийся	part/n	bezetene; door demonen bezeten
благ	1	бла́го	n.n	het goede; goed; weldaad; zegening
благая	3	благи́й	adj	goed; goedgunstig; genadig
благим	1	благи́й	adj	goed; goedgunstig; genadig
благих	1	бла́го	n.n	het goede; goed; weldaad; zegening
благоволила	1	благоволи́ти	v	welbehagen hebben; zich verwaardigen; goedgunstig willen
благоговейно	2	благогове́йно	adv	eerbiedig; met ontzag; godvruchtig
благодарне	2	благода́рне	adv	dankbaar; met dankzegging
благодарными	1	благода́рный	adj	dankbaar
благодарственная	4	благода́рственный	adj	dank-; van dankzegging
благодарственно	1	благода́рственно	adv	dankzeggend; uit dankbaarheid
благодарственное	1	благода́рственный	adj	dank-; van dankzegging
благодаряще	1	благодари́ти	v	danken; dankzeggen
благодати	6	благода́ть	n.f	genade
благодатию	2	благода́ть	n.f	genade
благодатная	1	благода́тный	adj	begenadigd; genadevol; genade-
благодатней	2	благода́тный	adj	begenadigd; genadevol; genade-
благодатную	1	благода́тный	adj	begenadigd; genadevol; genade-
благодатныя	1	благода́тный	adj	begenadigd; genadevol; genade-
благодать	6	благода́ть	n.f	genade
благословенная	1	благослове́нный	adj	gezegend
благости	3	бла́гость	n.f	goedheid; goedertierenheid; welwillendheid
благоутробное	1	благоутро́бный	adj	barmhartig; vol tedere ontferming; goedhartig
благоухает	1	благоуха́ти	v	geuren; welriekend zijn; een heerlijke geur verspreiden
благохвалити	1	благохвали́ти	v	naar behoren prijzen; loven; roemen
благочестия	2	благоче́стие	n.n	godsvrucht; vroomheid; ware godsdienstigheid
блажат	1	блажи́ти	v	zalig prijzen; zalig spreken
блаженный	1	блаже́нный	adj	zalige; gelukzalige
блуждающих	1	блужда́ти	v	dwalen; ronddolen; verdwalen
бо	10	бо	conj	want; immers
бог	2	Бог	n.m	God
бога	8	Бог	n.m	God
богови	1	Бог	n.m	God
