lemma	pos	match	ids	headwords	parts
ага́рянский	adj	none			
аллилу́иа	interj	none			
ами́нь	interj	none			
а́нгел	n.m	none			
а́нгельский	adj	none			
апо́стол	n.m	exact	0057-2-11	Апостолъ	main
Арсе́ний	n.prop	none			
арха́нгел	n.m	exact	0917-2-07	Архангелъ	supplement
арха́нгельский	adj	none			
архиере́й	n.m	none			
ба́ня	n.f	none			
беда́	n.f	exact	0100-2-08	Бѣда	main
без	prep	soft	0102-2-05	Бадь или безь	main
безгла́сный	adj	exact	0071-2-06	Безгласный	main
бе́здна	n.f	exact	0071-2-17	Бездна	main
безме́здный	adj	exact	0924-2-05	Безмездный	supplement
бесну́ющийся	part/n	none			
благи́й	adj	none			
бла́го	n.n	exact	0076-2-02	Благо	main
благоволи́ти	v	exact	0076-2-11	Благоволити	main
благогове́йно	adv	none			
благода́рне	adv	none			
благода́рственно	adv	none			
благода́рный	adj	exact	0929-2-11	Благодарный	supplement
благода́рственный	adj	none			
благодари́ти	v	none			
благода́ть	n.f	exact	0078-1-04;0930-1-03	Благодать;Благодать	main;supplement
благода́тный	adj	none			
благослове́нный	adj	exact	0081-2-03	Благословенный	main
бла́гость	n.f	none			
благоутро́бный	adj	none			
благоуха́ти	v	none			
благохвали́ти	v	exact	0083-1-13	Благохвалити	main
благоче́стие	n.n	none			
блажи́ти	v	exact	0084-1-03	Блажити	main
блаже́нный	adj	exact	0083-2-13	Блаженный	main
блужда́ти	v	none			
бо	conj	exact	0086-1-07	Бо	main
Бог	n.m	exact	0091-1-11;0091-2-03;0934-1-08	Бoгъ;Богъ;Богъ	main;main;supplement
Богоизбра́нный	adj	none			
Богома́ти	n.f	none			
Богома́терний	adj	none			
Богоно́сный	adj	exact	0089-1-14	Богоносный	main
богопозна́ние	n.n	none			
Богороди́тельница	n.f	none			
Богоро́дица	n.f	none			
боготе́чный	adj	exact	0090-2-20	Боготечный	main
Боже́ственный	adj	exact	0091-2-17	Божественный	main
Бо́жий	adj	exact	0935-1-03	Божій	supplement
боле́знь	n.f	exact	0937-1-09	Болезнь	supplement
больны́й	adj/n	none			
