leaf	side	base	verdict
38	a	2241	start
38	a	2341	continue
38	a	2443	continue
38	a	2543	continue
38	a	2667	continue
38	a	2769	continue
38	a	2871	continue
38	a	2972	continue
38	a	3072	continue
38	a	3176	continue
38	a	3276	continue
38	a	3378	continue
38	a	3481	continue
38	a	3583	continue
38	a	3684	continue
38	a	3785	continue
38	a	3889	continue
38	a	3989	continue
38	a	4090	continue
38	a	4192	continue
38	a	4294	continue
38	a	4394	continue
38	a	4516	start
38	a	4620	continue
38	a	4721	continue
38	a	4823	continue
38	a	4925	continue
38	a	5046	start
38	a	5150	continue
38	a	5252	continue
38	a	5354	continue
38	a	5455	continue
38	a	5558	continue
38	a	5659	continue
38	a	5759	continue
38	a	5861	continue
38	a	5962	continue
38	a	6063	continue
38	a	6165	continue
38	b	2231	continue
38	b	2334	continue
38	b	2456	start
38	b	2555	continue
38	b	2657	continue
38	b	2759	continue
38	b	2860	continue
38	b	2961	continue
38	b	3063	continue
38	b	3184	start
38	b	3330	continue
38	b	3431	continue
38	b	3532	continue
38	b	3636	start
38	b	3736	continue
38	b	3877	start
38	b	3979	continue
38	b	4080	continue
38	b	4183	continue
38	b	4284	continue
38	b	4387	continue
38	b	4488	continue
38	b	4590	continue
38	b	4691	continue
38	b	4794	continue
38	b	4896	continue
38	b	4997	continue
38	b	5142	start
38	b	5243	continue
38	b	5345	continue
38	b	5446	continue
38	b	5548	continue
38	b	5650	continue
38	b	5771	start
38	b	5873	continue
38	b	5976	continue
38	b	6077	continue
38	b	6178	continue
39	a	392	continue
39	a	495	continue
39	a	596	continue
39	a	699	continue
39	a	803	continue
39	a	903	start
39	a	1005	continue
39	a	1105	continue
39	a	1208	continue
39	a	1310	continue
39	a	1413	continue
39	a	1514	continue
39	a	1617	continue
39	a	1719	continue
39	a	1820	continue
39	a	1922	continue
39	a	2023	continue
39	a	2128	continue
39	a	2232	continue
39	a	2349	start
39	a	2454	continue
39	a	2574	start
39	a	2679	continue
39	a	2800	start
39	a	2903	continue
39	a	3006	continue
39	a	3107	continue
39	a	3209	continue
39	a	3311	continue
39	a	3414	continue
39	a	3536	start
39	a	3638	continue
39	a	3740	continue
39	a	3842	continue
39	a	3944	continue
39	a	4046	continue
39	a	4149	continue
39	a	4250	continue
39	a	4351	continue
39	a	4454	continue
39	a	4557	continue
39	a	4658	continue
39	a	4762	continue
39	a	4862	continue
39	a	4965	continue
39	a	5068	continue
39	a	5170	continue
39	a	5272	continue
39	a	5375	continue
39	a	5477	start
39	a	5579	continue
39	a	5683	continue
39	a	5802	start
39	a	5906	continue
39	a	6010	continue
39	a	6111	start
39	a	6214	continue
39	b	387	continue
39	b	609	start
39	b	713	continue
39	b	814	continue
39	b	918	continue
39	b	1037	start
39	b	1141	continue
39	b	1244	continue
39	b	1346	start
39	b	1448	continue
39	b	1550	continue
39	b	1651	continue
39	b	1754	continue
39	b	1856	continue
39	b	1958	continue
39	b	2059	continue
39	b	2162	continue
39	b	2265	start
39	b	2366	continue
39	b	2468	continue
39	b	2571	continue
39	b	2672	continue
39	b	2774	continue
39	b	2876	continue
39	b	2978	continue
39	b	3081	continue
39	b	3182	continue
39	b	3284	continue
39	b	3386	continue
39	b	3489	continue
39	b	3589	continue
39	b	3696	continue
39	b	3813	start
39	b	3923	continue
39	b	4037	start
39	b	4141	continue
39	b	4243	continue
39	b	4345	continue
39	b	4448	continue
39	b	4552	continue
39	b	4673	start
39	b	4775	continue
39	b	4877	continue
39	b	4979	continue
39	b	5081	continue
39	b	5184	continue
39	b	5287	continue
39	b	5394	continue
39	b	5491	start
39	b	5593	continue
39	b	5695	continue
39	b	5798	continue
39	b	5902	continue
39	b	6003	start
39	b	6104	continue
39	b	6206	continue
40	a	373	continue
40	a	473	continue
40	a	575	continue
40	a	676	continue
40	a	776	continue
40	a	878	start
40	a	980	continue
40	a	1081	continue
40	a	1181	continue
40	a	1301	start
40	a	1402	continue
40	a	1524	start
40	a	1627	continue
40	a	1730	continue
40	a	1830	continue
40	a	1951	start
40	a	2054	continue
40	a	2155	continue
40	a	2256	continue
40	a	2358	continue
40	a	2459	continue
40	a	2559	continue
40	a	2662	continue
40	a	2762	continue
40	a	2863	continue
40	a	3004	start
40	a	3106	continue
40	a	3226	start
40	a	3331	continue
40	a	3452	start
40	a	3555	continue
40	a	3656	continue
40	a	3880	continue
40	a	3981	continue
40	a	4083	continue
40	a	4184	continue
40	a	4284	continue
40	a	4386	continue
40	a	4609	continue
40	a	4711	continue
40	a	4812	continue
40	a	4913	continue
40	a	5136	start
40	a	5239	continue
40	a	5341	continue
40	a	5442	continue
40	a	5544	continue
40	a	5645	continue
40	a	5747	continue
40	a	5848	continue
40	a	5949	continue
40	a	6050	continue
40	a	6152	continue
40	b	370	continue
40	b	472	continue
40	b	573	continue
40	b	673	continue
40	b	775	continue
40	b	876	continue
40	b	977	continue
40	b	1098	start
40	b	1201	continue
40	b	1302	continue
40	b	1403	continue
40	b	1505	continue
40	b	1644	start
40	b	1748	continue
40	b	1849	continue
40	b	1950	continue
40	b	2193	start
40	b	2295	continue
40	b	2397	continue
40	b	2498	continue
40	b	2599	continue
40	b	2701	continue
40	b	2802	continue
40	b	2923	start
40	b	3025	continue
40	b	3126	continue
40	b	3228	continue
40	b	3330	continue
40	b	3430	continue
40	b	3532	continue
40	b	3634	continue
40	b	3735	continue
40	b	3854	start
40	b	3958	continue
40	b	4058	continue
40	b	4160	continue
40	b	4261	continue
40	b	4363	continue
40	b	4465	continue
40	b	4566	continue
40	b	4708	start
40	b	4811	continue
40	b	4912	continue
40	b	5014	continue
40	b	5117	continue
40	b	5236	start
40	b	5340	continue
40	b	5441	continue
40	b	5544	continue
40	b	5645	continue
40	b	5747	continue
40	b	5848	continue
40	b	5950	continue
40	b	6052	continue
41	a	357	start
41	a	497	start
41	a	599	continue
41	a	701	continue
41	a	804	start
41	a	924	start
41	a	1027	continue
41	a	1129	start
41	a	1231	continue
41	a	1333	continue
41	a	1436	continue
41	a	1537	continue
41	a	1639	continue
41	a	1740	continue
41	a	1883	start
41	a	1987	continue
41	a	2088	continue
41	a	2190	continue
41	a	2292	continue
41	a	2394	continue
41	a	2534	start
41	a	2640	continue
41	a	2741	continue
41	a	2843	start
41	a	2944	continue
41	a	3047	continue
41	a	3149	continue
41	a	3251	continue
41	a	3354	continue
41	a	3455	continue
41	a	3558	continue
41	a	3659	continue
41	a	3761	continue
